omega_rad_s,heading_deg,method,body,dof,load,Cd
1.1,0,near_field,2,5,-26.1746336329203,-5.20794112863341e-05
1.1,0,near_field,2,6,-0.0114002504359637,-2.26829662469481e-08
1.1,0,far_field_global,0,1,-20332.7324808548,-0.404558379802352
1.1,0,far_field_global,0,2,-0.983193019572075,-1.95624948789145e-05
1.1,0,far_field_global,0,3,0,0
1.1,0,far_field_global,0,4,0,0
1.1,0,far_field_global,0,5,0,0
1.1,0,far_field_global,0,6,-16.3901589361025,-3.26113381471782e-05
1.1,45,near_field,1,1,23928.701234689,0.47610701667351
1.1,45,near_field,1,2,22108.5481160651,0.43989160896301
1.1,45,near_field,1,3,58600.9961172923,1.16597826024311
1.1,45,near_field,1,4,25.0909248214961,4.99231665152973e-05
1.1,45,near_field,1,5,-23.0948533115473,-4.59516026500133e-05
1.1,45,near_field,1,6,-2.96853515042649,-5.90646521304344e-06
1.1,45,near_field,2,1,25398.8197001814,0.505357819293232
1.1,45,near_field,2,2,23376.445486581,0.465118838330954
1.1,45,near_field,2,3,62001.8402536981,1.2336445217788
1.1,45,near_field,2,4,28.6856586380158,5.70755730597757e-05
1.1,45,near_field,2,5,-30.7881374827691,-6.12588545533134e-05
1.1,45,near_field,2,6,-0.633830811146749,-1.26112693543667e-06
1.1,45,far_field_global,0,1,-53405.2548883037,-1.06259910766482
1.1,45,far_field_global,0,2,5146.95633147978,0.102408484267304
1.1,45,far_field_global,0,3,0,0
1.1,45,far_field_global,0,4,0,0
1.1,45,far_field_global,0,5,0,0
1.1,45,far_field_global,0,6,-20735.4749362023,-0.0412571706853521
1.1,90,near_field,1,1,909.01974592609,0.0180866765431787
1.1,90,near_field,1,2,35070.3668044271,0.697791641474287
1.1,90,near_field,1,3,60694.2361779289,1.20762725199894
1.1,90,near_field,1,4,23.1467680168973,4.6054896829013e-05
1.1,90,near_field,1,5,-1.04445594796575,-2.07814373440372e-06
1.1,90,near_field,1,6,-0.100667624855161,-2.00297383779097e-07
1.1,90,near_field,2,1,-903.248692771779,-0.0179718504657659
1.1,90,near_field,2,2,35081.7150607966,0.698017436615927
1.1,90,near_field,2,3,60698.6606394251,1.20771528507448
1.1,90,near_field,2,4,23.0621810601655,4.58865949925528e-05
1.1,90,near_field,2,5,1.00784326286476,2.00529583470004e-06
1.1,90,near_field,2,6,0.140622889431802,2.79795981013485e-07
1.1,90,far_field_global,0,1,2.21963248953277,4.41638094913e-05
1.1,90,far_field_global,0,2,19144.7324353215,0.38092085965701
1.1,90,far_field_global,0,3,0,0
1.1,90,far_field_global,0,4,0,0
1.1,90,far_field_global,0,5,0,0
1.1,90,far_field_global,0,6,-44.8909519630209,-8.93190859174747e-05
1.2,0,near_field,1,1,74698.4151742475,1.48626702511096
1.2,0,near_field,1,2,-20.5570393872922,-0.000409021392274101
1.2,0,near_field,1,3,68210.7176600685,1.35718194530403
1.2,0,near_field,1,4,-0.23705874884919,-4.71673462692258e-07
1.2,0,near_field,1,5,-41.945896438492,-8.3459337885314e-05
1.2,0,near_field,1,6,-0.0853340115042698,-1.6978824399873e-07
1.2,0,near_field,2,1,87866.1404002892,1.74826395976527
1.2,0,near_field,2,2,-29.0528231328242,-0.000578061166464801
1.2,0,near_field,2,3,84619.5943262471,1.6836677516115
1.2,0,near_field,2,4,-0.184545488947641,-3.67188345584095e-07
1.2,0,near_field,2,5,-63.5008337383594,-0.000126346984781699
1.2,0,near_field,2,6,0.00599003633917526,1.19183164319687e-08
1.2,0,far_field_global,0,1,11004.2113093731,0.218949710891762
1.2,0,far_field_global,0,2,2.24230870440775,4.4614995909973e-05
1.2,0,far_field_global,0,3,0,0
1.2,0,far_field_global,0,4,0,0
1.2,0,far_field_global,0,5,0,0
1.2,0,far_field_global,0,6,-89.88931289415,-0.000178851882403143
1.2,45,near_field,1,1,40394.7521210117,0.803730412819905
1.2,45,near_field,1,2,40624.7130101643,0.808305922030046
1.2,45,near_field,1,3,66750.8684799705,1.3281354696465
1.2,45,near_field,1,4,40.2265786965792,8.00384282722621e-05
1.2,45,near_field,1,5,-36.2645572931661,-7.21552332259678e-05
1.2,45,near_field,1,6,-3.66799091501711,-7.2981654733633e-06
1.2,45,near_field,2,1,59262.1682133873,1.1791335364569
1.2,45,near_field,2,2,58230.4530694283,1.15860560163798
1.2,45,near_field,2,3,88187.1507435013,1.75465107101418
1.2,45,near_field,2,4,60.1217143644133,0.000119623584174479
1.2,45,near_field,2,5,-61.935318734581,-0.000123232094965089
1.2,45,near_field,2,6,-2.31134241978744,-4.59885529600173e-06
1.2,45,far_field_global,0,1,-51087.1226602361,-1.01647545855678
