study,level,omegaRadPerSecond,rawAReciprocityResidual,rawBReciprocityResidual,pressureEnergyMatrixResidual,pressureEnergyB33Residual,maxRadiationLinearResidual,maxDiffractionLinearResidual
OuterDomain,Medium,1.9,1.97979111548937e-05,0.00021832584106897,0.997590169389801,0.875621707060408,1.43845781583469e-15,1.47335167881161e-15
OuterDomain,Medium,2,6.02385609007487e-08,0.000244304479365685,0.999156952634439,0.997016504294561,2.02439711991748e-15,1.50644431560082e-15
OuterDomain,Fine,0.5,3.21091676836125e-06,1.87555047275622e-05,0.623637552947397,0.623559850575658,1.69245709548864e-15,1.87140030845003e-15
OuterDomain,Fine,0.6,4.02411693552444e-06,8.31424092959141e-06,0.645845926515469,0.645619514279922,3.04359347957284e-15,6.96979369565071e-15
OuterDomain,Fine,0.7,4.38869083783562e-06,3.70659708700707e-05,0.917801504887971,0.917913541624509,8.37770191629595e-16,1.07951263784201e-15
OuterDomain,Fine,0.8,2.95634394796144e-07,0.000178106651398629,0.937035129741094,0.938955949300166,6.00410458107243e-15,5.06174658114589e-15
OuterDomain,Fine,0.9,1.53706305387797e-06,5.09943266352969e-05,0.908047990918914,0.908033669762482,3.29750284377845e-15,1.40390842839023e-14
OuterDomain,Fine,1,1.13274759547456e-06,1.62912546540667e-05,0.752491709038259,0.73137172003684,5.81032875903766e-15,8.79899184585663e-15
OuterDomain,Fine,1.1,1.11638877583377e-06,1.13736152284982e-05,0.588355134221438,0.486868963789723,5.34219449756108e-15,2.10990988851144e-14
OuterDomain,Fine,1.2,2.30209171711901e-06,5.60207973329285e-05,0.799991615409409,0.778042097565282,3.23028875671437e-15,1.20489640488811e-14
OuterDomain,Fine,1.3,1.22742131016065e-05,5.28327781512659e-05,0.777280472800468,0.832526364274108,6.53882436868187e-15,1.07455551291156e-14
OuterDomain,Fine,1.4,1.38620277272884e-05,2.07072337867846e-06,0.877526060281746,0.750985781499874,1.02251994973918e-14,7.81272073408988e-15
OuterDomain,Fine,1.5,1.51340445093115e-05,2.75657995534033e-05,0.916900240980658,0.257026930934127,6.01715329660076e-15,1.76888008966465e-14
OuterDomain,Fine,1.6,1.97292510942301e-05,4.82862916642574e-05,0.898733574493276,0.446752695751447,6.30246908688745e-15,1.04934966237517e-14
OuterDomain,Fine,1.7,2.10993465091519e-05,0.000121721987398557,0.784805884314762,0.405438975402299,8.37226497926266e-15,8.76988941538261e-15
OuterDomain,Fine,1.8,2.13903965204464e-06,0.000164007170675352,0.832467597158671,0.825764619311636,2.68252118577024e-15,2.64854085615024e-15
OuterDomain,Fine,1.9,4.34838759196888e-06,0.0001824368638438,0.901377450676965,0.578559898130196,9.94650882447271e-15,7.45799179834845e-15
OuterDomain,Fine,2,1.22743126776647e-05,0.000185456283093867,0.875690125164111,0.284870160720347,3.59734288386737e-15,3.31710730749584e-15
