omegaRadPerSecond,level,quantity,characteristicMeshSizeM,value,zeroMeshExtrapolate,absoluteErrorToExtrapolate,coarseMinusMedium,mediumMinusFine
0.9,Fine,F3,0.516146222830692,485332.176284397,485697.469389776,365.29310537898,-1752.50131731376,-460.433370780898
0.9,Fine,RAO3,0.516146222830692,1.07198639131942,1.06979296367866,0.0021934276407618,0.00804668693506483,0.00221386868422124
1,Coarse,A33,1.1970141330561,169965.783813751,171347.373014827,1381.58920107628,-775.075148549426,-242.72387252294
1,Coarse,B33,1.1970141330561,1927.33134029467,1909.19460490415,18.1367353905146,13.9817773822101,3.27935404500681
1,Coarse,F3,1.1970141330561,395502.577115657,397097.065178797,1594.48806313932,-1188.57990509417,-287.311330249649
1,Coarse,RAO3,1.1970141330561,1.15584532686943,1.13569809626565,0.020147230603786,0.0131226725072111,0.00358402234241662
1,Medium,A33,0.721650583949818,170740.8589623,171347.373014827,606.514052526851,-775.075148549426,-242.72387252294
1,Medium,B33,0.721650583949818,1913.34956291246,1909.19460490415,4.15495800830445,13.9817773822101,3.27935404500681
1,Medium,F3,0.721650583949818,396691.157020752,397097.065178797,405.908158045146,-1188.57990509417,-287.311330249649
1,Medium,RAO3,0.721650583949818,1.14272265436222,1.13569809626565,0.00702455809657487,0.0131226725072111,0.00358402234241662
1,Fine,A33,0.516146222830692,170983.582834823,171347.373014827,363.790180003911,-775.075148549426,-242.72387252294
1,Fine,B33,0.516146222830692,1910.07020886745,1909.19460490415,0.875603963297635,13.9817773822101,3.27935404500681
1,Fine,F3,0.516146222830692,396978.468351001,397097.065178797,118.596827795496,-1188.57990509417,-287.311330249649
1,Fine,RAO3,0.516146222830692,1.13913863201981,1.13569809626565,0.00344053575415826,0.0131226725072111,0.00358402234241662
1.1,Coarse,A33,1.1970141330561,-172641.8066154,-169372.923523509,3268.88309189127,-2879.60934410576,-599.84129903547
1.1,Coarse,B33,1.1970141330561,333493.337976032,356446.141161625,22952.803185593,-5085.79679098655,-3842.11497622821
1.1,Coarse,F3,1.1970141330561,846174.4597602,858454.285118628,12279.8253584285,-2032.29603935382,-2038.72034928692
1.1,Coarse,RAO3,1.1970141330561,1.11457175935993,1.10640894019542,0.00816281916451445,0.0041851727061013,0.00142445066632213
1.1,Medium,A33,0.721650583949818,-169762.197271294,-169372.923523509,389.273747785512,-2879.60934410576,-599.84129903547
