mesh_level,mesh_level_index,omega_rad_s,topology_mode,component,panel_count,minimum_panel_area_m2,maximum_panel_area_m2,median_panel_area_m2,mean_sqrt_area_m,median_sqrt_area_m,minimum_edge_length_m,maximum_aspect_ratio,maximum_skewness_deg,minimum_corner_angle_deg,maximum_corner_angle_deg,maximum_warp_deg,poor_panel_count,poor_panel_fraction,finite_positive_geometry,duplicate_panel_count,component_gate_pass,component_gate_status,requested_near_radial_step_m,realized_near_radial_step_m,requested_outer_radial_step_max_m,realized_outer_radial_step_m,configured_outer_radial_layer_count,realized_outer_radial_layer_count,base_theta_count,final_wall_theta_count,transition_median_sqrt_area_m,manifold_status,orientation_status,waterline_status,self_intersection_status,runtime_provenance
MESH_L1,1,1,QUALITY_CONTROLLED_V2,body,192,0.739049755021611,0.942747006482709,0.814004168309055,0.899901370359355,0.902189145691737,0.698109849247914,1.40403606215522,29.2527305045578,66.5620538048336,119.252730504558,7.58291583832407,0,0,1,0,1,PASS,3.74999999994608,3.74999999994608,31.3654849166758,30.8062045936108,2,3,32,64,9.72543670913531,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L1,1,1,QUALITY_CONTROLLED_V2,free_surface,512,5.02967236261267,596.066203721944,305.344902141722,14.5430023511085,17.2672934588938,0.980171403034624,7.85735140322983,46.4391238077062,43.5608761922938,95.6250000282519,0,0,0,1,0,1,PASS,3.74999999994608,3.74999999994608,31.3654849166758,30.8062045936108,2,3,32,64,9.72543670913531,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L1,1,1,QUALITY_CONTROLLED_V2,bottom,640,0.195312500007431,583.062484410637,39.9595868901269,8.68985997442601,5.90296934598425,0.44194173825,7.85735140322983,46.4391238077062,43.5608761922938,135,0,0,0,1,0,1,PASS,3.74999999994608,3.74999999994608,31.3654849166758,30.8062045936108,2,3,32,64,9.72543670913531,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L1,1,1,QUALITY_CONTROLLED_V2,farfield,256,291.152204200107,349.008969554841,320.080586877474,17.880624065148,17.8887658975397,16.5483597880129,1.23867129879395,1.90848586411863,88.0915141358814,91.9084858641186,1.20741826972573e-06,0,0,1,0,1,PASS,3.74999999994608,3.74999999994608,31.3654849166758,30.8062045936108,2,3,32,64,9.72543670913531,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L2,2,1,QUALITY_CONTROLLED_V2,body,300,0.466784818516517,0.608129616389175,0.519585775432755,0.720984429031345,0.720822984811636,0.557360828109397,1.40768945026193,29.5094893500022,65.2486095720126,119.509489350002,6.49915624280425,0,0,1,0,1,PASS,3.00000000001295,3.00000000001295,25.1069106471923,23.1046534452081,3,4,40,80,8.99186795556152,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L2,2,1,QUALITY_CONTROLLED_V2,free_surface,880,3.05047206555219,364.567487215179,194.682131586906,11.4121619441151,13.9524753244183,0.784590956591433,7.36200603994554,46.146243948393,43.853756051607,94.500000043753,0,0,0,1,0,1,PASS,3.00000000001295,3.00000000001295,25.1069106471923,23.1046534452081,3,4,40,80,8.99186795556152,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L2,2,1,QUALITY_CONTROLLED_V2,bottom,1020,0.125000000004756,364.567487215179,41.9504603088406,7.0001226207653,6.47691750054304,0.3535533906,7.36200603994554,46.146243948393,43.853756051607,135,0,0,0,1,0,1,PASS,3.00000000001295,3.00000000001295,25.1069106471923,23.1046534452081,3,4,40,80,8.99186795556152,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L2,2,1,QUALITY_CONTROLLED_V2,farfield,480,153.619784911641,187.91708239411,170.768433652876,13.0601328529055,13.067180689035,11.3471729754995,1.48662049842222,1.52690784187661,88.4730921581234,91.5269078418766,1.4787793334711e-06,0,0,1,0,1,PASS,3.00000000001295,3.00000000001295,25.1069106471923,23.1046534452081,3,4,40,80,8.99186795556152,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L3,3,1,QUALITY_CONTROLLED_V2,body,588,0.234131195130669,0.312429588071844,0.261403662059209,0.515651584165798,0.511276502549461,0.397414634867714,1.41088028264537,29.7422934746887,63.7439059459357,119.742293474689,5.01605271391314,0,0,1,0,1,PASS,2.49999999998807,2.49999999998807,17.942543124655,15.4031022968054,4,6,56,112,6.3911778804625,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L3,3,1,QUALITY_CONTROLLED_V2,free_surface,1624,1.74944493785932,180.595075522654,107.259516472098,8.5314707611653,10.3566170380148,0.560704471902171,6.86774542925515,45.8145311878244,44.1854688121756,93.2142857766388,0,0,0,1,0,1,PASS,2.49999999998807,2.49999999998807,17.942543124655,15.4031022968054,4,6,56,112,6.3911778804625,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L3,3,1,QUALITY_CONTROLLED_V2,bottom,1876,0.0637755102065082,180.595075522654,20.980091893556,5.16823453245948,4.58040302741538,0.252538136142857,6.86774542925515,45.8145311878244,44.1854688121756,135,0,0,0,1,0,1,PASS,2.49999999998807,2.49999999998807,17.942543124655,15.4031022968054,4,6,56,112,6.3911778804625,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
MESH_L3,3,1,QUALITY_CONTROLLED_V2,farfield,784,93.7810673826246,115.385842304761,104.583454843693,10.2205280536922,10.2266052453242,9.45876375682538,1.23900639344591,1.09072254683535,88.9092774531646,91.0907225468353,1.4787793334711e-06,0,0,1,0,1,PASS,2.49999999998807,2.49999999998807,17.942543124655,15.4031022968054,4,6,56,112,6.3911778804625,PASS,PASS,PASS,PASS,PASS_CURRENT_WORKTREE
