mesh_level,omega_rad_s,component,event_type,event_rank,panel_id,generator_region,ring_index,sector_index,scheduler,is_triangle,is_poor,area_m2,sqrt_area_m,aspect_ratio,aspect_limit,minimum_angle_deg,maximum_angle_deg,skewness_deg,warp_deg,center_x_m,center_y_m,center_z_m,v1_x_m,v1_y_m,v1_z_m,v2_x_m,v2_y_m,v2_z_m,v3_x_m,v3_y_m,v3_z_m,v4_x_m,v4_y_m,v4_z_m,body_division_count,fs_radial_counts,bottom_radial_counts,configured_wall_theta_count,legacy_theta_count,final_wall_theta_count,radial_scheduler_candidate,metric_bug,root_cause_status,runtime_provenance
MESH_L1,0.5,farfield,WORST_ASPECT_RATIO,1,45,FARFIELD_STRUCTURED_WALL,NaN,NaN,build_frustum_wall equal-count rings,0,0,1149.74841990084,33.90794036654,3.92729408680788,12,87.3087191283676,92.6912808716325,2.69128087163249,0,99.8038580567127,672.822958946215,-2.5,134.46518644208,676.002142101163,0,67.5579029908741,685.9269000657,0,65.9424682713526,669.525116109061,-5,131.249874522544,659.837677508936,-5,4,4|2,4|2,64,32,64,FIVE_BLOCK_CORE_MAPPING_OR_ROUNDING,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
MESH_L1,0.5,farfield,WORST_MINIMUM_ANGLE,1,261,FARFIELD_STRUCTURED_WALL,NaN,NaN,build_frustum_wall equal-count rings,0,0,1038.44724531012,32.2249475610143,3.55165855398452,12,87.3087191283674,92.6912808716326,2.69128087163263,0,-493.442323842584,-365.961769028311,-22.5,-518.27265838568,-346.298718947739,-20,-481.833823746178,-395.430799848901,-20,-469.093726242145,-384.975272034343,-25,-504.569086996332,-337.14228528226,-25,4,4|2,4|2,64,32,64,FIVE_BLOCK_CORE_MAPPING_OR_ROUNDING,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
MESH_L1,0.5,farfield,WORST_ASPECT_RATIO,2,61,FARFIELD_STRUCTURED_WALL,NaN,NaN,build_frustum_wall equal-count rings,0,0,1149.74841990083,33.90794036654,3.92729408680788,12,87.3087191283675,92.6912808716325,2.69128087163249,0,-672.822958946215,99.8038580567127,-2.5,-676.002142101163,134.46518644208,0,-685.9269000657,67.5579029908741,0,-669.525116109061,65.9424682713527,-5,-659.837677508936,131.249874522544,-5,4,4|2,4|2,64,32,64,FIVE_BLOCK_CORE_MAPPING_OR_ROUNDING,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
MESH_L1,0.5,farfield,WORST_MINIMUM_ANGLE,2,293,FARFIELD_STRUCTURED_WALL,NaN,NaN,build_frustum_wall equal-count rings,0,0,1038.44724531012,32.2249475610142,3.55165855398453,12,87.3087191283674,92.6912808716325,2.69128087163263,0,493.442323842584,365.961769028311,-22.5,518.27265838568,346.298718947739,-20,481.833823746179,395.430799848901,-20,469.093726242145,384.975272034343,-25,504.569086996332,337.14228528226,-25,4,4|2,4|2,64,32,64,FIVE_BLOCK_CORE_MAPPING_OR_ROUNDING,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
MESH_L1,0.5,farfield,WORST_ASPECT_RATIO,3,42,FARFIELD_STRUCTURED_WALL,NaN,NaN,build_frustum_wall equal-count rings,0,0,1149.74841990083,33.90794036654,3.92729408680788,12,87.3087191283677,92.6912808716323,2.69128087163232,0,290.816532923255,614.879897497586,-2.5,324.90822430134,607.860533569679,0,263.762951175176,636.78009397093,0,257.455889970074,621.553501271039,-5,317.139066246429,593.325461178697,-5,4,4|2,4|2,64,32,64,FIVE_BLOCK_CORE_MAPPING_OR_ROUNDING,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
MESH_L1,0.5,farfield,WORST_MINIMUM_ANGLE,3,101,FARFIELD_STRUCTURED_WALL,NaN,NaN,build_frustum_wall equal-count rings,0,0,1121.92312625315,33.4951209320574,3.83338520360202,12,87.3087191283674,92.6912808716325,2.69128087163261,0,533.107827182657,395.379711248367,-7.5,559.383372553725,373.768019944177,-5,520.05411625828,426.797383292575,-5,507.314018754246,416.341855478017,-10,545.679801164376,364.611586278698,-10,4,4|2,4|2,64,32,64,FIVE_BLOCK_CORE_MAPPING_OR_ROUNDING,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
MESH_L1,0.5,farfield,WORST_ASPECT_RATIO,4,58,FARFIELD_STRUCTURED_WALL,NaN,NaN,build_frustum_wall equal-count rings,0,0,1149.74841990083,33.90794036654,3.92729408680788,12,87.3087191283677,92.6912808716323,2.69128087163232,0,-614.879897497586,290.816532923255,-2.5,-607.860533569679,324.90822430134,0,-636.78009397093,263.762951175177,0,-621.553501271039,257.455889970074,-5,-593.325461178697,317.139066246429,-5,4,4|2,4|2,64,32,64,FIVE_BLOCK_CORE_MAPPING_OR_ROUNDING,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
MESH_L1,0.5,farfield,WORST_MINIMUM_ANGLE,4,338,FARFIELD_STRUCTURED_WALL,NaN,NaN,build_frustum_wall equal-count rings,0,0,1010.62195166244,31.7902807735704,3.45774967077869,12,87.3087191283674,92.6912808716325,2.6912808716326,0,201.419189842301,-562.928924403567,-27.5,176.156377096221,-580.709750982357,-25,232.227645144849,-560.647130473469,-25,225.920583939877,-545.420537773524,-30,171.372153188257,-564.938278384918,-30,4,4|2,4|2,64,32,64,FIVE_BLOCK_CORE_MAPPING_OR_ROUNDING,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
MESH_L1,0.5,farfield,WORST_ASPECT_RATIO,5,63,FARFIELD_STRUCTURED_WALL,NaN,NaN,build_frustum_wall equal-count rings,0,0,1149.74841990083,33.90794036654,3.92729408680787,12,87.3087191283676,92.6912808716325,2.69128087163246,0,-679.365621258531,-33.3750928111843,-2.5,-689.245807016818,2.95994208004873e-09,0,-685.92690006628,-67.5579029849834,0,-669.525116109627,-65.9424682656028,-5,-672.764661841397,2.88916437689046e-09,-5,4,4|2,4|2,64,32,64,FIVE_BLOCK_CORE_MAPPING_OR_ROUNDING,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
MESH_L1,0.5,farfield,WORST_MINIMUM_ANGLE,5,264,FARFIELD_STRUCTURED_WALL,NaN,NaN,build_frustum_wall equal-count rings,0,0,1038.44724531012,32.2249475610143,3.55165855398453,12,87.3087191283674,92.6912808716326,2.6912808716326,0,-365.961769032548,-493.442323839441,-22.5,-395.430799853039,-481.833823742782,-20,-346.29871895219,-518.272658382706,-20,-337.142285286593,-504.569086993437,-25,-384.975272038372,-469.093726238839,-25,4,4|2,4|2,64,32,64,FIVE_BLOCK_CORE_MAPPING_OR_ROUNDING,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
MESH_L2,0.5,body,WORST_ASPECT_RATIO,1,5,BODY_SURFACE,NaN,NaN,not-applicable,0,0,0.466784818516517,0.683216523890133,1.40768945026193,4,84.4642039028947,96.069834694934,6.06983469493402,0.559990931951395,-0.297994317625,-3.225780079,-3.77661679375,-0.556494431,-3.513567557,-3.513567557,-0.6354828395,-2.915092592,-4.01228074,0,-2.938926261,-4.045084972,0,-3.535533906,-3.535533906,5,5|3,5|3,80,40,80,NOT_CLASSIFIED,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
MESH_L2,0.5,body,WORST_MINIMUM_ANGLE,1,1,BODY_SURFACE,NaN,NaN,not-applicable,0,0,0.474928140719699,0.689150303431478,1.05616081063259,4,65.2486095720126,119.509489350002,29.5094893500022,4.13971350443699,-2.7125107555,-2.7125107555,-3.1659089635,-2.886751346,-2.886751346,-2.886751346,-3.144800848,-2.284831558,-3.144800848,-2.53365927,-2.53365927,-3.487282812,-2.284831558,-3.144800848,-3.144800848,5,5|3,5|3,80,40,80,NOT_CLASSIFIED,NO,NOT_YET_UNIQUE,PASS_CURRENT_WORKTREE
