mesh_level,omega_rad_s,component,raw_panel_count,recomputed_panel_count,raw_maximum_aspect_ratio,recomputed_maximum_aspect_ratio,raw_minimum_corner_angle_deg,recomputed_minimum_corner_angle_deg,raw_poor_panel_fraction,recomputed_poor_panel_fraction,raw_status,recomputed_status,maximum_numeric_relative_difference,numeric_match,status_match,row_match
MESH_L1,1.5,bottom,1120,1120,3.97280182720078,3.97280182720078,19.1043063146102,19.1043063146102,0.553571428571429,0.553571428571429,FAIL,FAIL,2.53171590933145e-15,1,1,1
MESH_L1,1.5,farfield,256,256,1.50302938830753,1.50302938830753,88.9316991758242,88.9316991758242,0,0,PASS,PASS,3.52763837152058e-15,1,1,1
MESH_L2,1.5,body,300,300,1.40768945026193,1.40768945026193,65.2486095720126,65.2486095720126,0,0,PASS,PASS,2.68152772120524e-15,1,1,1
MESH_L2,1.5,free_surface,1480,1480,2.93188907976769,2.93188907976769,29.2997472513298,29.2997472513298,0.264864864864865,0.264864864864865,FAIL,FAIL,3.43650289468283e-15,1,1,1
MESH_L2,1.5,bottom,1780,1780,3.13836382914214,3.13836382914214,18.8304115215436,18.8304115215436,0.557303370786517,0.557303370786517,FAIL,FAIL,3.50561697244244e-15,1,1,1
MESH_L2,1.5,farfield,400,400,1.50281207599354,1.50281207599354,89.1452535782049,89.1452535782049,0,0,PASS,PASS,2.80609617559193e-15,1,1,1
MESH_L3,1.5,body,588,588,1.41088028264537,1.41088028264537,63.7439059459357,63.7439059459357,0,0,PASS,PASS,2.61093047963483e-15,1,1,1
MESH_L3,1.5,free_surface,2856,2856,2.90420890750932,2.90420890750932,28.9587449035478,28.9587449035478,0.282913165266106,0.282913165266106,FAIL,FAIL,1.56970146451953e-15,1,1,1
MESH_L3,1.5,bottom,3444,3444,3.14586107797599,3.14586107797599,18.5083193947277,18.5083193947277,0.579558652729384,0.579558652729384,FAIL,FAIL,1.63983522545593e-15,1,1,1
MESH_L3,1.5,farfield,672,672,1.75306003540699,1.75306003540699,89.3894010628274,89.3894010628274,0,0,PASS,PASS,1.28878196238291e-15,1,1,1
MESH_L1,2,body,192,192,1.40403606215522,1.40403606215522,66.5620538048336,66.5620538048336,0,0,PASS,PASS,1.57883647193927e-15,1,1,1
MESH_L1,2,free_surface,928,928,2.41669180312338,2.41669180312338,27.6331408123103,27.6331408123103,0.327586206896552,0.327586206896552,FAIL,FAIL,1.41423845853222e-15,1,1,1
MESH_L1,2,bottom,1120,1120,3.13654849047756,3.13654849047756,19.1043063146103,19.1043063146103,0.553571428571429,0.553571428571429,FAIL,FAIL,2.23156828850688e-15,1,1,1
